Unselbstst„ndiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;
AT1;AT13;AT130;92101;0000;1740717411;1044022588;696694823;19212;21753;16473;25776;27969;22757;20071231;
AT1;AT13;AT130;92201;0000;2137264088;1302943416;834320672;20599;23915;17092;27125;29792;23355;20071231;
AT1;AT13;AT130;92301;0000;1356687126;834953470;521733656;22379;26600;18046;29586;33418;24477;20071231;
AT1;AT13;AT130;90101;0000;306943000;203631000;103312000;29234;36957;21160;43745;53251;32139;20061231;
AT1;AT13;AT130;90201;0000;1009346000;604121000;405225000;17458;19051;15597;25504;27331;23009;20061231;
AT1;AT13;AT130;90301;0000;1113882000;664871000;449011000;20210;23088;17189;28843;32073;24856;20061231;
AT1;AT13;AT130;90401;0000;448861000;269489000;179372000;22350;25922;18674;32387;36704;27193;20061231;
AT1;AT13;AT130;90501;0000;610721000;357710000;253011000;17295;18976;15437;25488;27468;22991;20061231;
AT1;AT13;AT130;90601;0000;423827000;246795000;177032000;20273;22768;17686;29645;32953;25787;20061231;
AT1;AT13;AT130;90701;0000;461922000;268630000;193292000;20885;24120;17737;30618;34335;26366;20061231;
AT1;AT13;AT130;90801;0000;372464000;219141000;153323000;22329;26086;18679;33076;37892;27665;20061231;
AT1;AT13;AT130;90901;0000;575649000;339837000;235812000;20748;24163;17393;31219;35371;26437;20061231;
AT1;AT13;AT130;91001;0000;1828447000;1108671000;719776000;17257;18984;15220;23757;25399;21416;20061231;
AT1;AT13;AT130;91101;0000;962270000;586431000;375839000;17646;19658;15313;23685;25416;21156;20061231;
AT1;AT13;AT130;91201;0000;946949000;561602000;385347000;17446;19188;15485;24782;26580;22379;20061231;
AT1;AT13;AT130;91301;0000;824208000;523547000;300661000;26230;32744;19809;36076;42703;27764;20061231;
AT1;AT13;AT130;91401;0000;1104238000;658318000;445920000;20510;23360;17514;27963;30788;24360;20061231;
AT1;AT13;AT130;91501;0000;713123000;422707000;290416000;15527;16713;14125;22728;24032;20930;20061231;
AT1;AT13;AT130;91601;0000;1055139000;625897000;429242000;17170;18734;15374;24574;26366;22200;20061231;
AT1;AT13;AT130;91701;0000;635664000;383723000;251941000;18441;20699;15872;27166;29998;23491;20061231;
AT1;AT13;AT130;91801;0000;698501000;428477000;270024000;22139;26614;17706;32371;36934;26662;20061231;
AT1;AT13;AT130;91901;0000;949594000;601766000;347828000;23716;29184;18192;34208;39682;27208;20061231;
AT1;AT13;AT130;92001;0000;817104000;491233000;325871000;16339;17723;14676;23404;24853;21359;20061231;
AT1;AT13;AT130;92101;0000;1668643000;1010197000;658446000;18815;21377;16021;25381;27669;22167;20061231;
AT1;AT13;AT130;92201;0000;2041952000;1258414000;783538000;20296;23591;16746;26508;29152;22692;20061231;
AT1;AT13;AT130;92301;0000;1294072000;803114000;490958000;21734;25798;17495;28790;32403;23899;20061231;
AT1;AT13;AT130;90101;0000;290489718;191054403;99435315;28638;35904;21011;41870;50072;31727;20051231;
AT1;AT13;AT130;90201;0000;956215346;573122532;383092813;17074;18703;15179;24782;26581;22319;20051231;
AT1;AT13;AT130;90301;0000;1072113328;641268191;430845137;19799;22520;16910;28143;31188;24313;20051231;
AT1;AT13;AT130;90401;0000;428849030;256244004;172605026;21767;25133;18307;31633;35686;26771;20051231;
AT1;AT13;AT130;90501;0000;583671634;340876261;242795372;16873;18436;15143;24880;26855;22402;20051231;
AT1;AT13;AT130;90601;0000;403912410;238566447;165345963;19714;22184;17087;28923;32047;25087;20051231;
AT1;AT13;AT130;90701;0000;422161996;242141283;180020713;19778;22475;17133;29211;32179;25755;20051231;
AT1;AT13;AT130;90801;0000;351064266;205517113;145547153;21842;25497;18304;32073;36441;27139;20051231;
AT1;AT13;AT130;90901;0000;546489425;323343469;223145956;20203;23577;16877;30070;33998;25427;20051231;
AT1;AT13;AT130;91001;0000;1754214619;1063685807;690528812;17074;18812;15034;23381;25089;20955;20051231;
AT1;AT13;AT130;91101;0000;933092319;568959191;364133128;17367;19343;15075;23395;25117;20895;20051231;
AT1;AT13;AT130;91201;0000;913836581;545040330;368796251;17357;19145;15331;24344;26280;21728;20051231;
AT1;AT13;AT130;91301;0000;784330142;500342239;283987902;25382;31628;19132;34924;41185;26993;20051231;
AT1;AT13;AT130;91401;0000;1064289843;638351253;425938590;20234;23196;17118;27503;30448;23705;20051231;
AT1;AT13;AT130;91501;0000;691243582;413063343;278180239;15376;16622;13891;22327;23612;20511;20051231;
AT1;AT13;AT130;91601;0000;1018578450;604786868;413791583;17030;18523;15302;24136;25950;21741;20051231;
AT1;AT13;AT130;91701;0000;605707057;366058055;239649002;18260;20538;15729;26467;29153;22942;20051231;
AT1;AT13;AT130;91801;0000;665612909;408508731;257104178;21630;25617;17546;31607;36104;25943;20051231;
AT1;AT13;AT130;91901;0000;905900694;576533042;329367653;23232;28546;17810;33300;38754;26302;20051231;
AT1;AT13;AT130;92001;0000;778527388;468626647;309900741;16023;17369;14403;22915;24322;20935;20051231;
AT1;AT13;AT130;92101;0000;1608019095;980167969;627851126;18547;21146;15691;24873;27169;21629;20051231;
AT1;AT13;AT130;92201;0000;1945220203;1198451732;746768471;19804;22962;16389;25954;28537;22196;20051231;
AT1;AT13;AT130;92301;0000;1245347544;774558605;470788939;21544;25498;17380;28482;32059;23625;20051231;
AT1;AT13;AT130;90101;0000;277130788;183951697;93179091;26854;33770;19483;39843;48423;29104;20041231;
AT1;AT13;AT130;90201;0000;932529740;560699642;371830098;16640;18263;14746;23817;25622;21358;20041231;
AT1;AT13;AT130;90301;0000;1043958345;623323401;420634944;19290;21964;16466;27164;30256;23359;20041231;
AT1;AT13;AT130;90401;0000;414601295;252203186;162398109;21126;24824;17320;30706;35255;25275;20041231;
AT1;AT13;AT130;90501;0000;568481785;331698461;236783324;16484;18108;14712;23861;25680;21539;20041231;
AT1;AT13;AT130;90601;0000;395666454;235115978;160550477;19132;21560;16530;27688;30743;23930;20041231;
AT1;AT13;AT130;90701;0000;404406387;230858459;173547928;19046;21447;16665;27863;30537;24782;20041231;
AT1;AT13;AT130;90801;0000;335297341;195514877;139782464;20645;23832;17516;30679;34865;25958;20041231;
AT1;AT13;AT130;90901;0000;536702302;316020338;220681965;19534;22627;16460;28957;32538;24764;20041231;
AT1;AT13;AT130;91001;0000;1704108186;1036285972;667822214;16765;18542;14680;22693;24423;20261;20041231;
AT1;AT13;AT130;91101;0000;918102510;559564869;358537641;16930;18901;14658;22442;24181;19938;20041231;
AT1;AT13;AT130;91201;0000;900455841;539516236;360939604;17126;19039;14974;23702;25590;21156;20041231;
AT1;AT13;AT130;91301;0000;762372425;486245664;276126761;24701;30745;18641;33265;39087;25820;20041231;
AT1;AT13;AT130;91401;0000;1044488584;630564798;413923786;19809;22804;16637;26705;29629;22923;20041231;
AT1;AT13;AT130;91501;0000;674494780;403995300;270499480;15025;16252;13560;21619;22945;19776;20041231;
AT1;AT13;AT130;91601;0000;992802257;590336262;402465995;16576;18087;14835;23321;25168;20897;20041231;
AT1;AT13;AT130;91701;0000;591023044;357867940;233155104;17768;19940;15329;25755;28388;22253;20041231;
AT1;AT13;AT130;91801;0000;645719513;399904377;245815136;20915;25061;16671;30226;34714;24548;20041231;
AT1;AT13;AT130;91901;0000;895897336;573081251;322816086;22875;28208;17401;32315;37688;25427;20041231;
AT1;AT13;AT130;92001;0000;776085488;469828406;306257081;15783;17145;14128;22290;23773;20211;20041231;
AT1;AT13;AT130;92101;0000;1565222225;955093598;610128627;18158;20700;15356;24071;26345;20875;20041231;
AT1;AT13;AT130;92201;0000;1885539825;1166555108;718984716;19355;22477;15953;25110;27664;21416;20041231;
AT1;AT13;AT130;92301;0000;1206168336;752867580;453300756;20923;24809;16814;27365;30894;22569;20041231;
AT1;AT13;AT130;90101;0000;288833000;193956000;94877000;26571;33764;18907;37151;45846;26751;20031231;
AT1;AT13;AT130;90201;0000;930773000;567797000;362976000;16549;18296;14478;22557;24613;19822;20031231;
AT1;AT13;AT130;90301;0000;1025151000;617133000;408018000;18940;21523;16150;25451;28709;21574;20031231;
AT1;AT13;AT130;90401;0000;405329000;245721000;159608000;20730;24031;17256;28314;32597;23339;20031231;
AT1;AT13;AT130;90501;0000;562823000;331907000;230916000;16402;17976;14633;22822;24807;20350;20031231;
AT1;AT13;AT130;90601;0000;396279000;236608000;159671000;19059;21460;16449;26447;29715;22556;20031231;
AT1;AT13;AT130;90701;0000;399941000;231107000;168834000;18941;21490;16388;26079;29158;22680;20031231;
AT1;AT13;AT130;90801;0000;333272000;195755000;137517000;20345;23644;17106;28507;32402;24150;20031231;
AT1;AT13;AT130;90901;0000;530457000;317171000;213286000;19141;21776;16336;26679;30090;22708;20031231;
AT1;AT13;AT130;91001;0000;1691292000;1033135000;658157000;16792;18586;14669;21995;23955;19371;20031231;
AT1;AT13;AT130;91101;0000;925120000;569139000;355981000;16838;18937;14403;21841;23853;19045;20031231;
AT1;AT13;AT130;91201;0000;894699000;538922000;355777000;16999;18834;14895;22707;24815;19967;20031231;
AT1;AT13;AT130;91301;0000;747993000;482967000;265026000;24149;29800;18220;31110;36866;23777;20031231;
AT1;AT13;AT130;91401;0000;1048594000;636728000;411866000;19613;22460;16534;25290;28360;21497;20031231;
AT1;AT13;AT130;91501;0000;678267000;408668000;269599000;14998;16321;13415;20656;22233;18559;20031231;
AT1;AT13;AT130;91601;0000;985965000;594582000;391383000;16434;17991;14593;22175;24166;19621;20031231;
AT1;AT13;AT130;91701;0000;582679000;355721000;226958000;17713;19906;15215;24377;27243;20751;20031231;
AT1;AT13;AT130;91801;0000;636688000;393592000;243096000;20614;24511;16593;28029;32408;22744;20031231;
AT1;AT13;AT130;91901;0000;884833000;564111000;320722000;22458;27421;17292;30305;35710;23702;20031231;
AT1;AT13;AT130;92001;0000;775075000;470253000;304822000;15705;17018;14096;21333;22905;19221;20031231;
AT1;AT13;AT130;92101;0000;1569339000;962041000;607298000;18070;20582;15264;23321;25754;20005;20031231;
